title,size,price
"
Шкаф инструментальный ТС 1995-023020
","[<a class=""spec"">Вес(кг): <span>92</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 53 224 руб.
"
"
Шкаф инструментальный TC 1995-041030
","[<a class=""spec"">Вес(кг): <span>101</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 57 074 руб.
"
"
Шкаф инструментальный ТС 1995-120604
","[<a class=""spec"">Вес(кг): <span>99</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 61 384 руб.
"
"
Шкаф инструментальный TC-1995/2-102206
","[<a class=""spec"">Вес(кг): <span>85</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 64 229 руб.
"
"
Шкаф инструментальный TC 1995-041040
","[<a class=""spec"">Вес(кг): <span>102</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 64 362 руб.
"
"
Шкаф инструментальный TC-1995/2- 022050
","[<a class=""spec"">Вес(кг): <span>93</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 64 821 руб.
"
"
Шкаф инструментальный TC-1995/2-102215
","[<a class=""spec"">Вес(кг): <span>90</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 68 717 руб.
"
"
Шкаф инструментальный TC-1995/2-121215
","[<a class=""spec"">Вес(кг): <span>90</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 69 110 руб.
"
"
Шкаф инструментальный ТС 1995-121215
","[<a class=""spec"">Вес(кг): <span>98</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 70 814 руб.
"
"
Шкаф инструментальный TC-1995/2-1020010
","[<a class=""spec"">Вес(кг): <span>97</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 81 610 руб.
"
"
Шкаф инструментальный TC-1995/2-1220110
","[<a class=""spec"">Вес(кг): <span>107</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 91 418 руб.
"
"
Инструментальный шкаф тяжелый AMH TC-004000
","[<a class=""spec"">Вес(кг): <span>110</span></a>, <a class=""spec"">Габариты: <span>920x1850x460</span></a>]","
 94 529 руб.
"
"
Инструментальный шкаф тяжелый AMH TC-062000
","[<a class=""spec"">Вес(кг): <span>110</span></a>, <a class=""spec"">Габариты: <span>920x1850x460</span></a>]","
 97 665 руб.
"
"
Инструментальный шкаф тяжелый AMH TC-004010
","[<a class=""spec"">Вес(кг): <span>110</span></a>, <a class=""spec"">Габариты: <span>920x1850x460</span></a>]","
 101 949 руб.
"
"
Инструментальный шкаф тяжелый AMH TC-005020
","[<a class=""spec"">Вес(кг): <span>110</span></a>, <a class=""spec"">Габариты: <span>920x1850x460</span></a>]","
 113 730 руб.
"
"
Инструментальный шкаф тяжелый AMH TC-062030
","[<a class=""spec"">Вес(кг): <span>110</span></a>, <a class=""spec"">Габариты: <span>920x1850x460</span></a>]","
 119 927 руб.
"
"
Инструментальный шкаф тяжелый AMH TC-062032
","[<a class=""spec"">Вес(кг): <span>110</span></a>, <a class=""spec"">Габариты: <span>920x1850x460</span></a>]","
 133 748 руб.
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 ШМ-SS (11-50)
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>1920x500x500</span></a>]","
Под заказ
"
